"","redshift","redshift_lower","redshift_upper","mass_1_source","mass_1_source_lower","mass_1_source_upper","mass_2_source","mass_2_source_lower","mass_2_source_upper"
"GW150914",0.09,-0.03,0.03,35.6,-3.1,4.7,30.6,-4.4,3.
"GW151012",0.21,-0.09,0.09,23.2,-5.5,14.9,13.6,-4.8,4.1
"GW151226",0.09,-0.04,0.04,13.7,-3.2,8.8,7.7,-2.5,2.2
"GW170104",0.2,-0.08,0.08,30.8,-5.6,7.3,20.,-4.6,4.9
"GW170608",0.07,-0.02,0.02,11.,-1.7,5.5,7.6,-2.2,1.4
"GW170729",0.49,-0.21,0.19,50.2,-10.2,16.2,34.,-10.1,9.1
"GW170809",0.2,-0.07,0.05,35.,-5.9,8.3,23.8,-5.2,5.1
"GW170814",0.12,-0.04,0.03,30.6,-3.,5.6,25.2,-4.,2.8
"GW170818",0.21,-0.07,0.07,35.4,-4.7,7.5,26.7,-5.2,4.3
"GW170823",0.35,-0.15,0.15,39.5,-6.7,11.2,29.,-7.8,6.7
"GW190408_181802",0.29,-0.11,0.07,24.8,-3.5,5.4,18.5,-4.,3.3
"GW190412_053044",0.15,-0.04,0.04,27.7,-6.,6.,9.,-1.4,2.
"GW190413_134308",0.62,-0.26,0.32,51.3,-12.6,16.6,30.4,-12.7,11.7
"GW190421_213856",0.45,-0.19,0.21,42.,-7.4,10.1,32.,-9.8,8.3
"GW190503_185404",0.29,-0.1,0.1,41.3,-7.7,10.3,28.3,-9.2,7.5
"GW190512_180714",0.28,-0.1,0.08,23.2,-5.6,5.6,12.5,-2.6,3.5
"GW190513_205428",0.4,-0.13,0.14,36.,-9.7,10.6,18.3,-4.7,7.4
"GW190517_055101",0.33,-0.15,0.26,39.2,-9.2,13.9,24.,-7.9,7.4
"GW190519_153544",0.45,-0.15,0.24,65.1,-11.,10.8,40.8,-12.7,11.5
"GW190521_030229",0.56,-0.27,0.36,98.4,-21.7,33.6,57.2,-30.1,27.1
"GW190521_074359",0.21,-0.1,0.1,43.4,-5.5,5.8,33.4,-6.8,5.2
"GW190527_092055",0.44,-0.19,0.29,35.6,-8.,18.7,22.2,-8.7,9.
"GW190602_175927",0.49,-0.2,0.26,71.8,-14.6,18.1,44.8,-19.6,15.5
"GW190620_030421",0.5,-0.2,0.23,58.,-13.3,19.2,35.,-14.5,13.1
"GW190630_185205",0.18,-0.07,0.09,35.1,-5.5,6.5,24.,-5.2,5.5
"GW190701_203306",0.38,-0.12,0.11,54.1,-8.,12.6,40.5,-12.1,8.7
"GW190706_222641",0.6,-0.29,0.33,74.,-16.9,20.1,39.4,-15.4,18.4
"GW190707_093326",0.17,-0.08,0.06,12.1,-2.,2.6,7.9,-1.3,1.6
"GW190708_232457",0.19,-0.07,0.06,19.8,-4.3,4.3,11.6,-2.,3.1
"GW190720_000836",0.16,-0.05,0.11,14.2,-3.3,5.6,7.5,-1.8,2.2
"GW190727_060333",0.52,-0.18,0.18,38.9,-6.,8.9,30.2,-8.3,6.5
"GW190728_064510",0.18,-0.07,0.05,12.5,-2.3,6.9,8.,-2.6,1.7
"GW190803_022701",0.54,-0.22,0.22,37.7,-6.7,9.8,27.6,-8.5,7.6
"GW190814_211039",0.05,-0.01,0.01,23.3,-1.4,1.4,2.6,-0.1,0.1
"GW190828_063405",0.38,-0.15,0.1,31.9,-4.1,5.4,25.8,-5.3,4.9
"GW190828_065509",0.29,-0.11,0.11,23.7,-6.7,6.8,10.4,-2.2,3.8
"GW190910_112807",0.29,-0.11,0.17,43.8,-6.8,7.6,34.2,-7.3,6.6
"GW190915_235702",0.32,-0.11,0.11,32.6,-4.9,8.8,24.5,-5.8,4.9
"GW190924_021846",0.11,-0.04,0.04,8.8,-1.8,4.3,5.1,-1.5,1.2
"GW190925_232845",0.19,-0.07,0.08,20.8,-2.9,6.5,15.5,-3.6,2.5
"GW190929_012149",0.53,-0.2,0.33,66.3,-16.6,21.6,26.8,-10.6,14.7
"GW190930_133541",0.16,-0.06,0.06,14.2,-4.,8.,6.9,-2.1,2.4
"GW191105_143521",0.23,-0.09,0.07,10.7,-1.6,3.7,7.7,-1.9,1.4
"GW191109_010717",0.25,-0.12,0.18,65.,-11.,11.,47.,-13.,15.
"GW191127_050227",0.57,-0.29,0.4,53.,-20.,47.,24.,-14.,17.
"GW191129_134029",0.16,-0.06,0.05,10.7,-2.1,4.1,6.7,-1.7,1.5
"GW191204_171526",0.13,-0.05,0.04,11.9,-1.8,3.3,8.2,-1.6,1.4
"GW191215_223052",0.35,-0.14,0.13,24.9,-4.1,7.1,18.1,-4.1,3.8
"GW191216_213338",0.07,-0.03,0.02,12.1,-2.3,4.6,7.7,-1.9,1.6
"GW191222_033537",0.51,-0.26,0.23,45.1,-8.,10.9,34.7,-10.5,9.3
"GW191230_180458",0.69,-0.27,0.26,49.4,-9.6,14.,37.,-12.,11.
"GW200112_155838",0.24,-0.08,0.07,35.6,-4.5,6.7,28.3,-5.9,4.4
"GW200115_042309",0.06,-0.02,0.03,5.9,-2.5,2.,1.44,-0.29,0.85
"GW200128_022011",0.56,-0.28,0.28,42.2,-8.1,11.6,32.6,-9.2,9.5
"GW200129_065458",0.18,-0.07,0.05,34.5,-3.2,9.9,28.9,-9.3,3.4
"GW200202_154313",0.09,-0.03,0.03,10.1,-1.4,3.5,7.3,-1.7,1.1
"GW200208_130117",0.4,-0.14,0.15,37.8,-6.2,9.2,27.4,-7.4,6.1
"GW200209_085452",0.57,-0.26,0.25,35.6,-6.8,10.5,27.1,-7.8,7.8
"GW200219_094415",0.57,-0.22,0.22,37.5,-6.9,10.1,27.9,-8.4,7.4
"GW200224_222234",0.32,-0.11,0.08,40.,-4.5,6.9,32.5,-7.2,5.
"GW200225_060421",0.22,-0.1,0.09,19.3,-3.,5.,14.,-3.5,2.8
"GW200302_015811",0.28,-0.12,0.16,37.8,-8.5,8.7,20.,-5.7,8.1
"GW200311_115853",0.23,-0.07,0.05,34.2,-3.8,6.4,27.7,-5.9,4.1
"GW200316_215756",0.22,-0.08,0.08,13.1,-2.9,10.2,7.8,-2.9,1.9
"GW190413_052954",0.56,-0.21,0.25,33.7,-6.4,10.4,24.2,-7.,6.5
"GW190719_215514",0.61,-0.3,0.39,36.6,-11.1,42.1,19.9,-9.3,10.
"GW190725_174728",0.2,-0.08,0.09,11.8,-3.,10.1,6.3,-2.5,2.1
"GW190731_140936",0.56,-0.26,0.31,41.8,-9.1,12.7,29.,-9.9,10.2
"GW190805_211137",0.92,-0.4,0.43,46.2,-11.2,15.4,30.6,-11.3,11.8
"GW190917_114630",0.15,-0.06,0.05,9.7,-3.9,3.4,2.1,-0.4,1.1
"GW191103_012549",0.2,-0.09,0.09,11.8,-2.2,6.2,7.9,-2.4,1.7
"GW200216_220804",0.63,-0.29,0.37,51.,-13.,22.,30.,-16.,14.
